                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.3268,                0.81478,                 1.0675,                0.78799,                0.63541,                0.66979,                0.37343,                 1.7015,                 1.0622,                 1.2698,               0.006931,               0.006931,               0.006931
                     96,                 1.3392,                0.82579,                 1.0719,                0.78658,                 0.6322,                0.67208,                0.37452,                 1.7038,                 1.0578,                 1.2731,               0.006898,               0.006898,               0.006898
                     97,                 1.3412,                0.82188,                 1.0742,                0.78174,                0.64055,                0.67318,                0.37705,                 1.7005,                 1.0522,                 1.2714,               0.006865,               0.006865,               0.006865
                     98,                 1.3357,                0.81687,                 1.0703,                0.78279,                 0.6425,                 0.6764,                0.37783,                  1.701,                 1.0487,                 1.2737,               0.006832,               0.006832,               0.006832
                     99,                 1.3307,                0.80496,                 1.0642,                0.78439,                0.63952,                0.67636,                0.37848,                 1.6965,                  1.055,                 1.2679,               0.006799,               0.006799,               0.006799
                    100,                 1.3329,                0.81874,                 1.0651,                0.77912,                0.64166,                0.67696,                0.38037,                  1.697,                 1.0493,                 1.2696,               0.006766,               0.006766,               0.006766
                    101,                 1.3177,                0.81244,                 1.0598,                0.77344,                0.64502,                0.67661,                0.38058,                 1.6987,                  1.052,                 1.2684,               0.006733,               0.006733,               0.006733
                    102,                 1.3198,                0.80734,                 1.0596,                0.77366,                0.64093,                0.67462,                0.37898,                 1.6967,                 1.0534,                 1.2709,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.3321,                0.80409,                 1.0602,                0.77527,                0.64909,                0.67832,                0.38178,                 1.6901,                 1.0478,                 1.2685,               0.006667,               0.006667,               0.006667
                    104,                  1.318,                0.79811,                  1.063,                0.78665,                 0.6413,                0.67846,                0.38251,                 1.6934,                 1.0494,                 1.2675,               0.006634,               0.006634,               0.006634
                    105,                 1.3042,                0.78768,                 1.0537,                 0.7801,                0.64148,                0.67659,                0.38242,                 1.6932,                 1.0515,                 1.2677,               0.006601,               0.006601,               0.006601
                    106,                 1.3113,                0.79969,                 1.0528,                0.78472,                0.63752,                0.67782,                0.38387,                 1.6921,                 1.0415,                 1.2669,               0.006568,               0.006568,               0.006568
                    107,                 1.3071,                0.78397,                 1.0561,                0.78512,                0.64203,                0.67976,                0.38601,                 1.6855,                 1.0397,                 1.2651,               0.006535,               0.006535,               0.006535
                    108,                 1.3081,                0.78988,                 1.0551,                0.78231,                0.64694,                0.68091,                0.38527,                 1.6851,                  1.035,                 1.2645,               0.006502,               0.006502,               0.006502
                    109,                 1.2961,                0.78226,                  1.052,                0.79164,                0.64681,                0.68146,                0.38522,                 1.6885,                  1.032,                 1.2654,               0.006469,               0.006469,               0.006469
                    110,                 1.2924,                0.78464,                 1.0487,                 0.7813,                0.64637,                0.67868,                0.38565,                   1.69,                 1.0308,                 1.2658,               0.006436,               0.006436,               0.006436
                    111,                  1.293,                0.77907,                 1.0449,                0.76787,                0.65324,                0.67872,                0.38598,                 1.6876,                 1.0316,                 1.2654,               0.006403,               0.006403,               0.006403
                    112,                  1.293,                0.78139,                 1.0527,                0.76895,                0.65256,                0.67879,                0.38668,                 1.6862,                   1.03,                 1.2658,                0.00637,                0.00637,                0.00637
                    113,                 1.2951,                0.77947,                 1.0477,                0.77345,                0.65246,                0.67993,                0.38679,                 1.6897,                 1.0286,                 1.2681,               0.006337,               0.006337,               0.006337
                    114,                 1.2874,                 0.7675,                 1.0436,                0.77315,                0.65352,                0.68018,                0.38605,                 1.6895,                 1.0288,                 1.2673,               0.006304,               0.006304,               0.006304
                    115,                 1.2961,                0.77429,                 1.0503,                0.79077,                0.64273,                0.67959,                0.38599,                  1.687,                 1.0299,                 1.2657,               0.006271,               0.006271,               0.006271
                    116,                 1.2892,                0.76996,                 1.0462,                0.78973,                0.64549,                0.67923,                0.38616,                 1.6856,                 1.0285,                 1.2652,               0.006238,               0.006238,               0.006238
                    117,                 1.2898,                0.76902,                 1.0455,                0.78691,                0.64869,                0.68121,                0.38727,                 1.6851,                 1.0273,                 1.2671,               0.006205,               0.006205,               0.006205
                    118,                 1.2775,                0.76939,                 1.0428,                0.78929,                0.64474,                0.68123,                0.38758,                 1.6852,                 1.0254,                 1.2686,               0.006172,               0.006172,               0.006172
                    119,                   1.28,                0.76954,                 1.0451,                0.78969,                0.64492,                0.68173,                0.38826,                 1.6861,                 1.0252,                 1.2698,               0.006139,               0.006139,               0.006139
                    120,                 1.2776,                0.75373,                 1.0413,                0.78746,                0.65015,                0.68165,                0.38833,                 1.6845,                 1.0225,                 1.2692,               0.006106,               0.006106,               0.006106
                    121,                 1.2643,                0.75334,                 1.0385,                0.79764,                0.64843,                0.68306,                0.38844,                 1.6832,                 1.0228,                 1.2701,               0.006073,               0.006073,               0.006073
                    122,                 1.2693,                0.75641,                 1.0424,                 0.7953,                0.64883,                0.68242,                0.38899,                 1.6831,                 1.0249,                 1.2705,                0.00604,                0.00604,                0.00604
                    123,                 1.2615,                 0.7509,                 1.0357,                0.79871,                0.64623,                0.68327,                0.38944,                 1.6808,                 1.0272,                 1.2707,               0.006007,               0.006007,               0.006007
                    124,                 1.2629,                0.74827,                 1.0344,                0.79637,                0.64532,                0.68169,                0.39012,                 1.6788,                 1.0281,                 1.2688,               0.005974,               0.005974,               0.005974
                    125,                 1.2526,                0.73813,                 1.0346,                0.79251,                0.64797,                0.68195,                0.39045,                 1.6797,                 1.0307,                 1.2698,               0.005941,               0.005941,               0.005941
                    126,                 1.2571,                0.73859,                 1.0331,                0.78807,                0.65132,                0.68196,                0.39154,                 1.6784,                 1.0279,                 1.2688,               0.005908,               0.005908,               0.005908
                    127,                 1.2618,                0.75116,                 1.0394,                0.79041,                0.64988,                0.68192,                0.39114,                 1.6782,                 1.0287,                 1.2687,               0.005875,               0.005875,               0.005875
                    128,                 1.2545,                0.74065,                 1.0325,                0.79233,                 0.6439,                0.68134,                0.39095,                 1.6776,                 1.0309,                 1.2679,               0.005842,               0.005842,               0.005842
                    129,                 1.2365,                0.72838,                 1.0275,                0.78954,                0.64749,                0.68104,                0.39059,                 1.6766,                 1.0295,                  1.267,               0.005809,               0.005809,               0.005809
                    130,                 1.2502,                0.73333,                 1.0309,                0.78447,                0.64817,                0.68113,                0.39006,                 1.6779,                 1.0294,                 1.2678,               0.005776,               0.005776,               0.005776
                    131,                 1.2391,                0.72661,                 1.0275,                0.78316,                0.64876,                0.68104,                0.39068,                 1.6771,                 1.0301,                 1.2671,               0.005743,               0.005743,               0.005743
                    132,                 1.2369,                0.72647,                 1.0272,                0.78666,                 0.6481,                0.68196,                0.39119,                 1.6765,                  1.029,                 1.2667,                0.00571,                0.00571,                0.00571
                    133,                 1.2477,                0.72995,                 1.0305,                0.78619,                0.64877,                 0.6824,                 0.3919,                 1.6754,                 1.0288,                 1.2651,               0.005677,               0.005677,               0.005677
                    134,                 1.2469,                0.73482,                 1.0318,                 0.7853,                0.64735,                0.68152,                0.39134,                 1.6753,                 1.0283,                 1.2652,               0.005644,               0.005644,               0.005644
                    135,                  1.236,                0.72485,                 1.0231,                0.78754,                0.64726,                0.68159,                0.39178,                 1.6749,                 1.0278,                 1.2649,               0.005611,               0.005611,               0.005611
                    136,                 1.2316,                0.72275,                 1.0228,                 0.7867,                0.64501,                0.68021,                 0.3913,                 1.6744,                 1.0266,                  1.264,               0.005578,               0.005578,               0.005578
                    137,                 1.2251,                0.72011,                 1.0212,                0.78614,                0.64683,                0.67987,                0.39185,                 1.6739,                 1.0264,                 1.2645,               0.005545,               0.005545,               0.005545
                    138,                 1.2345,                0.72351,                 1.0266,                 0.7854,                0.64693,                0.68038,                 0.3919,                  1.673,                 1.0265,                 1.2641,               0.005512,               0.005512,               0.005512
                    139,                 1.2271,                0.71302,                 1.0195,                0.78357,                0.64757,                0.67889,                0.39262,                 1.6722,                 1.0265,                 1.2638,               0.005479,               0.005479,               0.005479
                    140,                 1.2275,                0.71485,                 1.0207,                0.78336,                0.64679,                0.67947,                0.39213,                 1.6723,                 1.0259,                 1.2645,               0.005446,               0.005446,               0.005446
