                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.2414,                0.80611,                0.86795,                0.47359,                0.33313,                0.33785,                0.19699,                 1.2687,                0.88532,                 0.8799,               0.003466,               0.003466,               0.003466
                     68,                 1.2348,                0.79925,                0.86754,                0.45322,                 0.3364,                 0.3341,                0.19577,                 1.2694,                0.88401,                0.88043,               0.003367,               0.003367,               0.003367
                     69,                 1.2364,                0.80025,                0.86789,                0.45405,                0.33399,                0.33474,                0.19608,                 1.2688,                0.88275,                0.87928,               0.003268,               0.003268,               0.003268
                     70,                 1.2292,                 0.7913,                0.86818,                0.46117,                0.33375,                0.33494,                0.19521,                 1.2673,                0.88922,                0.87925,               0.003169,               0.003169,               0.003169
                     71,                 1.2314,                0.79082,                0.86745,                0.45545,                0.33704,                0.33772,                0.19667,                 1.2669,                0.88598,                0.87885,                0.00307,                0.00307,                0.00307
                     72,                 1.2184,                 0.7815,                0.86433,                0.45251,                0.33892,                 0.3367,                0.19667,                 1.2649,                0.88596,                0.87769,               0.002971,               0.002971,               0.002971
                     73,                 1.2248,                0.78521,                0.86478,                0.45944,                0.33753,                0.33737,                0.19767,                 1.2637,                0.88503,                0.87771,               0.002872,               0.002872,               0.002872
                     74,                 1.2243,                0.78171,                0.86656,                0.45809,                0.34208,                0.33871,                0.19732,                 1.2608,                0.88267,                0.87779,               0.002773,               0.002773,               0.002773
                     75,                 1.2212,                0.77807,                0.86501,                0.45333,                0.34201,                0.33669,                0.19742,                 1.2609,                0.88447,                0.87766,               0.002674,               0.002674,               0.002674
                     76,                 1.2234,                 0.7773,                0.86529,                0.45476,                0.34052,                0.33683,                0.19802,                 1.2634,                0.88434,                0.87911,               0.002575,               0.002575,               0.002575
                     77,                 1.2147,                0.77235,                0.86492,                0.46445,                0.33738,                0.33695,                0.19764,                 1.2651,                0.88698,                0.87862,               0.002476,               0.002476,               0.002476
                     78,                 1.2131,                 0.7695,                 0.8632,                0.45421,                0.34055,                0.33891,                0.19842,                 1.2636,                0.88651,                0.87821,               0.002377,               0.002377,               0.002377
                     79,                 1.2087,                0.76741,                 0.8625,                 0.4663,                0.34097,                0.34026,                0.19866,                 1.2619,                0.88503,                0.87826,               0.002278,               0.002278,               0.002278
                     80,                 1.2101,                0.76431,                0.86365,                0.46197,                0.33825,                0.33921,                0.19823,                 1.2635,                0.88395,                0.87846,               0.002179,               0.002179,               0.002179
